"Achievements.ARCHAEOLOGIST_Description","Kill Doctor Bones."
"AnglerQuestText.Quest_Spiderfish","I saw a fish that had eight legs! Nope! Not happening! You're fishing it for me, so it's not alive when I hold it! That's the last time I go fishing so deep in the cavern!

(Caught in Underground & Caverns)"
"AnglerQuestText.Quest_TheFishofCthulu","Apparently, Demon Eyes can sometimes be amphibious. They don't fly, they swim! I want to see the look on someone's face when they find it in their bathtub! They hang around the same areas. That means you reel one in for me!

(Caught in Sky Lakes & Surface)"
"AnglerQuestText.Quest_TropicalBarracuda","Piranhas and sharks are ugly! Soooo ugly! Did you know there's a fish that looks very pretty and still can eat your face off? I would pay 2 platinum to see that happen, by the way... To the point, though, you catchy for me. Just make sure I have it before you lose your face!

(Caught Jungle Surface)"
"AnglerQuestText.Quest_TundraTrout","You ever wonder why the lakes on the surface of the snowy areas of {WorldName} never ice over? I don't. The fish, however, do! A fish made out of ice would make a great offering to the mighty and amazing {Angler}! Go, my loyal subject, and bring me this Tundra Trout with haste!

(Caught in Surface Tundra)"
"AnglerQuestText.Quest_UnicornFish","Unicorns and rainbows are absolutely great! They're everywhere, even in the water. No, really, I actually saw a unicorn fish in the Hallowed lake! Your job is to reel it up and let me have it as a pet!

(Caught in Hallow)"
"AnglerQuestText.Quest_Wyverntail","I know something youuuuu don't! Fine, I'll tell you, there's a terrifying creature that flies among the stars! I'm not making this up! It's called a Wyvern! But, but, you knew that already, right? Well what you don't know is that they are born and raised as tadpoles! So, they're actually like.. well, a frog! Hop to it and get me one!

(Caught in Sky Lakes)"
"AnglerQuestText.Quest_ZombieFish","You won't believe it! I caught a fish in the forest at night that was already dead! Then it tried to eat me! I threw it away and ran! Now I want to stick it in someone's dresser to see what happens, so go fish it back up for me will ya?!

(Caught in Surface)"
"AnglerQuestText.TurnIn_1","Oh! Thanks for the fish I asked for, now scram!"
"AnglerQuestText.TurnIn_2","Awesome catch! It's all going according to plan! He he he!"
"AnglerQuestText.TurnIn_3","You make a great errand monkey! Now go away!"
"AnglerQuestText.TurnIn_4","Muahahahahaha! You did it! You're still in one piece though, how boring!"
"AnglerQuestText.TurnIn_5","Woah!? You actually did what I asked, and survived! Nice, hand it over and beat it!"
"AnglerSpecialText.BloodMoonFishing1","You know, super scary things lurk in the water during a Blood Moon! You should totally go try it! I'll watch from here!"
"AnglerSpecialText.BloodMoonFishing2","You should try fishing when the water is all bloody! It's to die for!"
"AnglerSpecialText.Graveyard1","I'm totally scared right now! It is all YOUR fault!"
"AnglerSpecialText.Graveyard2","How can I fish out there?! Are you crazy, or just stupid!?"
"AnglerSpecialText.Party","What, you think I like parties because I am a kid? Well, you're right, so get to partying!"
"AnglerSpecialText.Rain1","Yes! It's raining! Now I can watch you get soaking wet while you fish for me!"
"AnglerSpecialText.Rain2","I always go fishing in the rain! It's why I wear this hat!"
"AnglerSpecialText.Storm1","Thunderstorms are the best time to go fishing! Also the most dangerous! That's why I'll send you to do it for me!"
"AnglerSpecialText.Storm2","This one time at fishing camp, lightning struck the lake! Suddenly, all the fish floated up to the surface for free!"
"AnglerSpecialText.Windy1","Wind is usually a great time to fish, but this is too much! I almost hooked my eye out!"
"AnglerSpecialText.Windy2","Is this some kinda hurricane!? I almost got hit by a dolphin!"
"Announcement.HasArrived","{0} has arrived!"
"Announcement.HasAwoken","{0} has awoken!"
"Announcement.HasBeenDefeated_Plural","{0} have been defeated!"
"Announcement.HasBeenDefeated_Single","{0} has been defeated!"
"ArmorSetBonus.AdamantiteCaster","19% reduced mana usage"
"ArmorSetBonus.AdamantiteMelee","20% increased melee and movement speed"
"ArmorSetBonus.AdamantiteRanged","25% chance to not consume ammo"
"ArmorSetBonus.ApprenticeTier2","Increases your max number of sentries
Flameburst field of view and range are dramatically increased"
"ArmorSetBonus.ApprenticeTier3","Increases your max number of sentries
Greatly enhances Flameburst effectiveness"
"ArmorSetBonus.Bee","Increases minion damage by 10%"
"ArmorSetBonus.BeetleDamage","Beetles increase your melee damage and speed"
"ArmorSetBonus.BeetleDefense","Beetles protect you from damage"
"ArmorSetBonus.Bone","10% increased ranged critical strike chance"
"ArmorSetBonus.Cactus","Attackers take damage from the cactus spines"
"ArmorSetBonus.Chlorophyte","Summons a powerful leaf crystal to shoot at nearby enemies"
"ArmorSetBonus.ChlorophyteMelee","Summons a powerful leaf crystal to shoot at nearby enemies
Reduces damage taken by 5%"
"ArmorSetBonus.CobaltCaster","14% reduced mana usage"
"ArmorSetBonus.CobaltMelee","15% increased melee speed"
"ArmorSetBonus.CobaltRanged","20% chance to not consume ammo"
"ArmorSetBonus.Crimson","Greatly increased life regen"
"ArmorSetBonus.CrystalNinja","Allows the ability to dash
10% increased damage and critical strike chance"
"ArmorSetBonus.Forbidden","Double tap {0} to call an ancient storm to the cursor location"
"ArmorSetBonus.Fossil","20% chance to not consume ammo"
"ArmorSetBonus.Frost","Melee and ranged attacks cause frostburn
Increases melee and ranged damage by 10%"
"ArmorSetBonus.Gladiator","Grants immunity to knockback"
"ArmorSetBonus.Hallowed","Become immune after striking an enemy"
"ArmorSetBonus.HallowedSummoner","Become immune after striking an enemy,
and increases your max number of minions by 2"
"ArmorSetBonus.HuntressTier2","Increases your max number of sentries
Explosive Traps recharge faster and oil enemies
Set oiled enemies on fire for extra damage"
"ArmorSetBonus.HuntressTier3","Increases your max number of sentries
Greatly enhances Explosive Traps effectiveness"
"ArmorSetBonus.Jungle","16% reduced mana usage"
"ArmorSetBonus.MagicHat","Increases maximum mana by 60"
"ArmorSetBonus.MetalTier1","2 defense"
"ArmorSetBonus.MetalTier2","3 defense"
"ArmorSetBonus.Meteor","Space Gun costs 0 mana"
"ArmorSetBonus.Mining","30% increased mining speed"
"ArmorSetBonus.Molten","10% extra melee damage,
Cannot be set on fire"
"ArmorSetBonus.MonkTier2","Increases your max number of sentries
Lightning Aura can now crit and strikes faster"
"ArmorSetBonus.MonkTier3","Increases your max number of sentries
Greatly enhances Lightning Aura effectiveness"
"ArmorSetBonus.MythrilCaster","17% reduced mana usage"
"ArmorSetBonus.MythrilMelee","10% increased melee critical strike chance"
"ArmorSetBonus.MythrilRanged","20% chance to not consume ammo"
"ArmorSetBonus.Nebula","Magic damage has a chance to spawn buff boosters,
pick boosters up to get stacking buffs"
"ArmorSetBonus.Ninja","20% increased movement speed"
"ArmorSetBonus.ObsidianOutlaw","Increases whip range by 50% and speed by 35%,
Increases minion damage by 15%"
"ArmorSetBonus.Orichalcum","Flower petals will fall on your target for extra damage"
"ArmorSetBonus.Palladium","Greatly increases life regeneration after striking an enemy"
"ArmorSetBonus.Platinum","4 defense"
"ArmorSetBonus.Pumpkin","10% increased damage"
"ArmorSetBonus.ShadowScale","15% increased movement speed"
"ArmorSetBonus.Shroomite","Not moving puts you in stealth,
increasing ranged ability and reducing chance for enemies to target you"
"ArmorSetBonus.Solar","Solar shields charge over time to protect you & let you dash
A charge is used to damage enemies you touch
Consumed charges explode & damage enemies"
"ArmorSetBonus.SpectreDamage","Magic damage done will hurt extra nearby enemies"
"ArmorSetBonus.SpectreHealing","Reduces Magic damage by 40% and converts it to healing force
Magic damage done to enemies heals the player with lowest health"
"ArmorSetBonus.Spider","Increases minion damage by 12%"
"ArmorSetBonus.Spooky","Increases minion damage by 25%"
"ArmorSetBonus.SquireTier2","Increases your max number of sentries
Ballista pierces more targets and panics when you take damage"
"ArmorSetBonus.SquireTier3","Increases your max number of sentries
Greatly enhances Ballista effectiveness"
"ArmorSetBonus.Stardust","A stardust guardian will protect you from nearby enemies"
"ArmorSetBonus.Tiki","Increases your max number of minions"
"ArmorSetBonus.Titanium","Attacking generates a defensive barrier of titanium shards"
"ArmorSetBonus.TitaniumCaster","19% reduced mana usage"
"ArmorSetBonus.TitaniumMelee","18% increased melee and movement speed"
"ArmorSetBonus.TitaniumRanged","25% chance to not consume ammo"
"ArmorSetBonus.Turtle","Attackers also take double damage
Reduces damage taken by 15%"
"ArmorSetBonus.Vortex","Double tap {0} to toggle stealth,
increasing ranged ability and reducing chance for enemies to target you but slowing movement speed"
"ArmorSetBonus.Wizard","10% increased magic critical strike chance"
"ArmorSetBonus.Wood","1 defense"
"ArmsDealerNames.Andre","Andre"
"ArmsDealerNames.Brimst","Brimst"
"ArmsDealerNames.Bronson","Bronson"
"ArmsDealerNames.Dante","Dante"
"ArmsDealerNames.Darius","Darius"
"ArmsDealerNames.Darnell","Darnell"
"ArmsDealerNames.Darryl","Darryl"
"ArmsDealerNames.DeAndre","DeAndre"
"ArmsDealerNames.Demetrius","Demetrius"
"ArmsDealerNames.DeShawn","DeShawn"
"ArmsDealerNames.Dominique","Dominique"
"ArmsDealerNames.Jalen","Jalen"
"ArmsDealerNames.Jamal","Jamal"
"ArmsDealerNames.Malik","Malik"
"ArmsDealerNames.Marquis","Marquis"
"ArmsDealerNames.Maurice","Maurice"
"ArmsDealerNames.Reginald","Reginald"
"ArmsDealerNames.Terrance","Terrance"
"ArmsDealerNames.Terrell","Terrell"
"ArmsDealerNames.Tony","Tony"
"ArmsDealerNames.Trevon","Trevon"
"ArmsDealerNames.Tyrone","Tyrone"
"ArmsDealerNames.Willie","Willie"
"ArmsDealerNames.Xavier","Xavier"
"ArmsDealerSpecialText.Graveyard1","I hate places like this. I can't kill what's already dead!"
"ArmsDealerSpecialText.Graveyard2","If you see any suspicious activity out in that fog, I wasn't involved."
"ArmsDealerSpecialText.Party","Parties are great for getting people to come out of their shell, just like with bullets."
"ArmsDealerSpecialText.Rain1","Heard a rumor that some clouds are literally out to get you! Show 'em who's boss with one of my guns!"
"ArmsDealerSpecialText.Rain2","Flying fish? I call that target practice!"
"ArmsDealerSpecialText.Storm1","A lightning gun? Don't have time for that, man. I love my bullets!"
"ArmsDealerSpecialText.Storm2","If you time it right, no one will hear your gunshots with the thunder."
"ArmsDealerSpecialText.Windy1","Was tryin' out my new gun, but the wind kept me off target!"
"ArmsDealerSpecialText.Windy2","Don't spray and pray in the wind, buddy!"
"AssetRejections.BadExtension","Only textures of type '.png' and '.xnb' may be loaded."
"AssetRejections.BadSize","Textures loaded must match the original size, got ({ActualWidth},{ActualHeight}) but expected ({NeededWidth}, {NeededHeight})."
"BartenderChatter.Chatter_1","I've got the cure for what ails ya! Get it? Ale? No?"
"BartenderChatter.Chatter_10","Do you think {Steampunker} has an extra of that gun? I know a witch that may want one."
"BartenderChatter.Chatter_11","No wonder {Demolitionist} has so many accidents. You can't imagine how much ale he buys from me."
"BartenderChatter.Chatter_12","Normally, I'm not much of a fan of Goblins, but {GoblinTinkerer} seems to be an alright sort."
"BartenderChatter.Chatter_13","{?Day}Anyone see where the Dryad went?"
"BartenderChatter.Chatter_14","{?!Day}Really quiet out there. A little too quiet..."
"BartenderChatter.Chatter_15","{?!Day}Check in with me, and do your job."
"BartenderChatter.Chatter_16","{?BloodMoon}You know, where I'm from, a Blood Moon is actually just an excuse to get some fresh air."
"BartenderChatter.Chatter_17","{?MoonLordDefeated}Moon Lord, don't you mean Abyss Lord?"
"BartenderChatter.Chatter_18","{?HardMode}I know a Lavamancer that would really like that hellstone down in the underworld."
"BartenderChatter.Chatter_19","{?Homeless}Know any good places to set up shop? Would love to open up a bar here."
"BartenderChatter.Chatter_2","They say you're strong, well, I know strong. Let's see if you measure up."
"BartenderChatter.Chatter_3","Back where I'm from, we only serve Root Beer..."
"BartenderChatter.Chatter_4","This is a big upgrade from wiping that table all day."
"BartenderChatter.Chatter_5","Life's a challenge when you're just naturally better than everyone else."
"BartenderChatter.Chatter_6","What am I doing here..."
"BartenderChatter.Chatter_7","A lot of tenacity and a little bit of luck can go a long way..."
"BartenderChatter.Chatter_8","Have you seen any Meburs around here?"
"BartenderChatter.Chatter_9","{Dryad} seems nice. I should bring her back with me."
"BartenderHelpText.Help_1","The first thing you need to know about are the special defensive artifacts I've got for sale, but only if you've got some Defender Medals!"
"BartenderHelpText.Help_10","If you successfully repel the invasion, you'll be awarded with more Defender Medals, which you can bring to me to purchase more artifacts and some other special rewards!"
"BartenderHelpText.Help_11","I've also heard rumors that the power of the artifacts themselves may be further unlocked if you defeat the Old One's Army. Perhaps you could even use them any time you wish!"
"BartenderHelpText.Help_2","You can use these artifacts to create traps and defensive towers. Doing so consumes Etherian mana, a special energy dropped only by members of the Old One's Army!"
"BartenderHelpText.Help_3","Challenging the Old One's Army is rather simple. They are attracted to the power of the Eternia Crystals, and that can be used to bait them out."
"BartenderHelpText.Help_4","To place an Eternia Crystal, you must obtain an Eternia Crystal and a stand to put it in. It just so happens, you can buy em from me!"
"BartenderHelpText.Help_5","You'll want to place your Eternia Crystal stand in a pretty open, flat area. Lots of walls and stuff might make it pretty difficult to protect!"
"BartenderHelpText.Help_6","Once your stand is set up, just interact with it while holding an Eternia Crystal, and prepare for a fight!"
